,Source,Likes,Text,Image,Retweets
309,Twitter for iPhone,3,"Live coverage from Ottawa 💪💪👏🏻👏🏻
Sending spiritual support of peace and light to the freedom truckers..

Canadian Convoy 2022 Live IRL https://t.co/nSMtflkHLX via @YouTube
#Together
#convoy #CanadianTruckers #CanadaConvoy https://t.co/454vvi2yR6",https://pbs.twimg.com/media/FKSGpWmXEAYzhXO.jpg,3
310,Twitter Web App,1,"@elonmusk @jordanbpeterson In 1980, Terry Fox began the Marathon of Hope, which helped unite Canadians and the World to fight cancer. In 2022, Canadian Truckers started Freedom Convoy, which is uniting Canadians and the World against Tyranny...
@JackPosobiec @TuckerCarlson @joerogan https://t.co/FxieX8yhiF",https://pbs.twimg.com/media/FKSFdJjWUAYxgZy.png,1
311,Twitter Web App,0,"Hoeveel trucks doen er mee in het Canadese konvooi?

250.000? Onzin
https://t.co/jcNX23AQLi

50.000? Logistiek onmogelijk
https://t.co/5zWOunqn8j

2.000? Verwachting van de politie
https://t.co/jd1P8BoFAQ

#TruckersForFreedom https://t.co/qpFS0Sx2Xe",https://pbs.twimg.com/media/FKSEjQRXMAM4qS6.png,0
312,Twitter Web App,0,Covid Mandates: Canada Has Had Enough.  The Freedom Convoy 2022 -  https://t.co/B8R99pr3Yz https://t.co/SC7kyvJs5Y,https://pbs.twimg.com/media/FKSF2vEWYAEC0Jd.jpg,0
313,Twitter for Android,0,Convoy For Freedom 2022 https://t.co/IvIQPnKKHy,https://pbs.twimg.com/media/FKSFE8PakAAmtoO.jpg,0
314,dlvr.it,0,New blog post:  The Canadian Freedom Convoy Is A Total Waste Of Time https://t.co/VP7LbiTrKd https://t.co/IqdV28eSls,https://pbs.twimg.com/media/FKSEkOqVQAA7KiF.jpg,0
315,Twitter Web App,0,"Snopes Debunker - Canadian ""Freedom Convoy"" rumors, Meat Loaf vs. Prince Andrew, and Cash App scams #Snopes #missionyearbook 
https://t.co/ZInDEs71MA https://t.co/5JPvsbfAZj",https://pbs.twimg.com/media/FKSC8WiWUAAdsw5.png,0
316,Twitter Web App,3,"Official Website for Freedom Convoy 2022 is up! https://t.co/oEJgkp60mq PS. It's not secure and won't load on my phone. Maybe it will on yours tho! 
#freedomconvoy2022 #freedomconvoycanada #TruckersForFreedom2022 https://t.co/HVZH0qLJe2",https://pbs.twimg.com/media/FKSBtSbVcAItKVd.jpg,3
317,Twitter for Android,0,"RT @radio_hex: ☑️ Canada 🇨🇦

💟 Freedom Convoy 2022 
#TruckersConvoy #TruckersForFreedom #CanadaTruckers https://t.co/xeU9Ux3X9A",https://pbs.twimg.com/media/FKP8I4zXMAEJLsE.jpg,0
318,Twitter Web App,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
